IDMatch,LeagueName,HomeTeam,AwayTeam,TimeStart,Date,Gwinner,GLoser,Referee,Venue,Attendance,Round,Status
g_1_xppbnRFI,Premier League ,Tottenham,Leicester,17.09.2022,23:30,6,2, Hooper S. (Eng),Tottenham Hotspur Stadium (London), 61 450,  Round 8,Finished
g_1_tIjklmo6,Premier League ,Newcastle,Bournemouth,17.09.2022,21:00,1,1, Pawson C. (Eng),St. James' Park (Newcastle), 52 238,  Round 8,Finished
g_1_E97RUbpo,Premier League ,Wolves,Manchester City,17.09.2022,18:30,0,3, Taylor A. (Eng),Molineux Stadium (Wolverhampton), 31 578,  Round 8,Finished
g_1_W8WAciOJ,Premier League ,Aston Villa,Southampton,17.09.2022,02:00,1,0, Harrington T. (Eng),Villa Park (Birmingham), 40 758,  Round 8,Finished
g_1_fLfgm70C,Premier League ,Nottingham,Fulham,17.09.2022,02:00,2,3, Gillett J. (Aus),City Ground (Nottingham), 28 654,  Round 8,Finished
